"","directorio","p6050","fex_c","ingtot","ocu","p6210s1","p6210","maxEducLevel","p6426","age","sex","estrato1","formal","informal","clase","oficio","sizeFirm","p7040","hoursWorkUsual","relab","cuentaPropia","microEmpresa","college","mean_ingtot","ingtot_boxcox","age_2","nuevo_pred","residuos","prediccion1","prediccion1_boxcox","female","log_income","predict_gender","femalenum","res_y","res_f","maxEducLevel_years","p6210_years","exp_pot_maxedu","exp_pot_p6210","exp_pot_p6210_2","dos_trabajo"
"734","4526827","1",298.862681375547,3450000,"1","3","6","7",204,59,"0","3","1","0","1","39","4","2",48,"1","0","0","0",2795833.33333333,19.7867232718561,3481,1895382.43000802,1554617.56999198,1895382.43000803,17.8842737578305,"1",15.0538847890075,1460694.61724313,1,0.564571085453941,0.527260174509699,15,19,39,35,1225,0
"735","4526827","3",298.862681375547,2141666.66666667,"1","7","6","7",120,30,"1","3","1","0","1","34","5","2",48,"1","0","0","0",2795833.33333333,18.9882370563831,900,1428435.01950168,713231.647164994,1428435.01950169,17.8964289448435,"0",14.5770949000774,1811681.0737787,0,0.173713019304295,-0.499814343461646,15,19,10,6,36,0
"736","4526829","1",182.992419365714,2e+06,"1","2","6","7",396,46,"1","2","0","1","1","84","1","2",48,"4","1","1","0",1350000,18.874708019171,2116,1833333.94902914,166666.050970863,1833333.94902915,18.1133770220356,"0",14.5086577385242,1518355.60798445,0,0.309277277872798,-0.509485136273412,15,19,26,22,484,0
"737","4526829","2",182.992419365714,7e+05,"1","2","6","7",120,36,"0","2","0","1","1","79","1","2",48,"4","1","1","0",1350000,17.1666464379872,1296,1622754.64846103,-922754.648461028,1622754.64846104,18.0423001624256,"1",13.4588356140255,1418379.77719581,1,-0.403520384358261,0.431428673138953,15,19,16,12,144,0
"738","4526830","1",247.691106782289,8e+05,"1","9","4","5",12,24,"1","2","0","1","1","45","1","2",49,"4","1","1","0",8e+05,17.3804537583836,576,1183136.35407846,-383136.35407846,1183136.35407847,17.6731389008994,"0",13.5923670066501,1468060.41225547,0,0.495203975120019,-0.447535337946851,10,9,9,10,100,0
"739","4526831","2",205.425424579072,2e+06,"1","5","6","7",60,37,"0","3","1","0","1","41","1","2",15,"4","1","1","0",2e+06,18.874708019171,1369,1650184.95807582,349815.041924178,1650184.95807583,18.0590852016818,"1",14.5086577385242,1606048.12345775,1,0.084700021059945,0.459888870071443,15,19,17,13,169,0
"740","4526832","1",256.177172399354,1903973.33333333,"1","2","6","7",6,32,"1","2","1","0","1","3","5","1",48,"1","0","0","0",1728768.91666667,18.793251010072,1024,1498872.56653967,405100.766793663,1498872.56653968,17.9536547758555,"0",14.4594534886331,1361176.35247874,0,0.258782136164115,-0.516251902154335,15,19,12,8,64,1
"741","4526832","1",256.177172399354,1800000,"1","5","6","7",4,24,"1","2","0","1","1","13","4","2",48,"4","1","0","0",1728768.91666667,18.7004553166052,576,1183136.35407846,616863.64592154,1183136.35407847,17.6731389008994,"0",14.4032972228664,2089671.50364079,0,0.860948856989801,-0.53975240298596,15,19,4,0,0,0
"742","4526832","1",256.177172399354,1482333.41666667,"1","11","5","6",24,37,"1","2","1","0","1","58","5","2",48,"1","0","0","1",1728768.91666667,18.3809935865663,1369,1650184.95807582,-167851.541409152,1650184.95807583,18.0590852016818,"0",14.2091280370424,1876607.34476358,0,0.246124829934547,-0.44330620095846,11,13,21,19,361,0
"743","4526834","1",263.1506421975,2491666.66666667,"1","7","6","7",48,34,"1","2","1","0","1","39","5","2",60,"1","0","0","0",2491666.66666667,19.2403000785198,1156,1563645.77619278,928020.890473885,1563645.7761928,18.0022785150496,"0",14.7284623885729,1612652.33112363,0,0.45664604524255,-0.51329389524516,15,19,14,10,100,0
"744","4526835","1",228.011704249585,4e+05,"1","3","6","7",48,44,"0","3","0","1","1","39","1","2",16,"4","1","1","0",4e+05,16.281332745373,1936,1802546.76368526,-1402546.76368526,1802546.76368527,18.1163658337496,"1",12.8992198260901,1685584.14092843,1,-1.03344916944344,0.381481422702399,15,19,24,20,400,0
